CSD,BOROUGH,SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,DATA SOURCE,SCHOOLWIDE PUPIL-TEACHER RATIO,padded_csd,DBN
2,M,M543,New Design High School,09-12,CTT,SCIENCE,Chemistry,-,21.0,1.0,21.0,21.0,21.0,STARS,,2,02M543
2,M,M543,New Design High School,09-12,CTT,SCIENCE,Other Science,-,53.0,2.0,26.5,24.0,29.0,STARS,,2,02M543
2,M,M543,New Design High School,09-12,CTT,SOCIAL STUDIES,Global History & Geography,-,97.0,4.0,24.3,20.0,27.0,STARS,,2,02M543
2,M,M543,New Design High School,09-12,CTT,SOCIAL STUDIES,US History & Government,-,17.0,1.0,17.0,17.0,17.0,STARS,,2,02M543
2,M,M543,New Design High School,,,,,,,,,,,,11.5,2,02M543
2,M,M544,Independence High School,09-12,GEN ED,ENGLISH,English 10,-,69.0,5.0,13.8,11.0,15.0,STARS,,2,02M544
2,M,M544,Independence High School,09-12,GEN ED,ENGLISH,English 11,-,239.0,14.0,17.1,10.0,30.0,STARS,,2,02M544
2,M,M544,Independence High School,09-12,GEN ED,ENGLISH,English 12,-,173.0,8.0,21.6,10.0,29.0,STARS,,2,02M544
2,M,M544,Independence High School,09-12,GEN ED,ENGLISH,Other English,-,36.0,3.0,12.0,10.0,14.0,STARS,,2,02M544
2,M,M544,Independence High School,09-12,GEN ED,MATH,Integrated Algebra,-,90.0,5.0,18.0,17.0,19.0,STARS,,2,02M544
2,M,M544,Independence High School,09-12,GEN ED,MATH,Geometry,-,108.0,5.0,21.6,18.0,26.0,STARS,,2,02M544
2,M,M544,Independence High School,09-12,GEN ED,MATH,Trigonometry,-,25.0,1.0,25.0,25.0,25.0,STARS,,2,02M544
2,M,M544,Independence High School,09-12,GEN ED,MATH,Math B,-,13.0,1.0,13.0,13.0,13.0,STARS,,2,02M544
2,M,M544,Independence High School,09-12,GEN ED,SCIENCE,Living Environment,-,244.0,12.0,20.3,10.0,28.0,STARS,,2,02M544
2,M,M544,Independence High School,09-12,GEN ED,SCIENCE,Other Science,-,171.0,9.0,19.0,10.0,28.0,STARS,,2,02M544
2,M,M544,Independence High School,09-12,GEN ED,SOCIAL STUDIES,Global History & Geography,-,180.0,9.0,20.0,10.0,30.0,STARS,,2,02M544
2,M,M544,Independence High School,09-12,GEN ED,SOCIAL STUDIES,US History & Government,-,232.0,11.0,21.1,13.0,28.0,STARS,,2,02M544
2,M,M544,Independence High School,09-12,GEN ED,SOCIAL STUDIES,Economics,-,69.0,3.0,23.0,19.0,26.0,STARS,,2,02M544
2,M,M544,Independence High School,09-12,GEN ED,SOCIAL STUDIES,Participation in Government,-,107.0,4.0,26.8,24.0,28.0,STARS,,2,02M544
2,M,M544,Independence High School,,,,,,,,,,,,16.0,2,02M544
2,M,M545,High School for Dual Language and Asian Studies,09-12,GEN ED,ENGLISH,English 9,-,50.0,2.0,25.0,22.0,28.0,STARS,,2,02M545
2,M,M545,High School for Dual Language and Asian Studies,09-12,GEN ED,ENGLISH,English 10,-,63.0,3.0,21.0,12.0,27.0,STARS,,2,02M545
